Num,Num_Back,Num_SQ,NUM_BACK_SQ
400,1001201,1021001,1002403442401,1042443042001
401,1001202,2021001,1002405444804,4084445042001
402,1001211,1121001,1002423466521,1256643242001
403,1001212,2121001,1002425468944,4498645242001
404,1001301,1031001,1002603692601,1062963062001
405,1002001,1002001,1004006004001,1004006004001
406,1002002,2002001,1004008008004,4008008004001
407,1002011,1102001,1004026044121,1214406204001
408,1002012,2102001,1004028048144,4418408204001
409,1002021,1202001,1004046084441,1444806404001
410,1002022,2202001,1004048088484,4848808404001
411,1002101,1012001,1004206414201,1024146024001
412,1002102,2012001,1004208418404,4048148024001
413,1002111,1112001,1004226456321,1236546224001
414,1002121,1212001,1004246498641,1468946424001
415,1002201,1022001,1004406844401,1044486044001
416,1002202,2022001,1004408848804,4088488044001
417,1002211,1122001,1004426888521,1258886244001
418,1010001,1000101,1020102020001,1000202010201
419,1010002,2000101,1020104040004,4000404010201
420,1010003,3000101,1020106060009,9000606010201
421,1010011,1100101,1020122220121,1210222210201
422,1010012,2100101,1020124240144,4410424210201
423,1010013,3100101,1020126260169,9610626210201
424,1010021,1200101,1020142420441,1440242410201
425,1010022,2200101,1020144440484,4840444410201
426,1010031,1300101,1020162620961,1690262610201
427,1010101,1010101,1020304030201,1020304030201
428,1010102,2010101,1020306050404,4040506030201
429,1010103,3010101,1020308070609,9060708030201
430,1010111,1110101,1020324232321,1232324230201
431,1010112,2110101,1020326252544,4452526230201
432,1010113,3110101,1020328272769,9672728230201
433,1010121,1210101,1020344434641,1464344430201
434,1010122,2210101,1020346454884,4884546430201
435,1010201,1020101,1020506060401,1040606050201
436,1010202,2020101,1020508080804,4080808050201
437,1010211,1120101,1020526264521,1254626250201
438,1010212,2120101,1020528284944,4494828250201
439,1010221,1220101,1020546468841,1488646450201
440,1011001,1001101,1022123022001,1002203212201
441,1011002,2001101,1022125044004,4004405212201
442,1011003,3001101,1022127066009,9006607212201
443,1011011,1101101,1022143242121,1212423412201
444,1011012,2101101,1022145264144,4414625412201
445,1011013,3101101,1022147286169,9616827412201
446,1011021,1201101,1022163462441,1442643612201
447,1011022,2201101,1022165484484,4844845612201
448,1011031,1301101,1022183682961,1692863812201
449,1011101,1011101,1022325232201,1022325232201
450,1011102,2011101,1022327254404,4044527232201
451,1011103,3011101,1022329276609,9066729232201
452,1011111,1111101,1022345454321,1234545432201
453,1011112,2111101,1022347476544,4456747432201
454,1011113,3111101,1022349498769,9678949432201
455,1011121,1211101,1022365676641,1466765632201
456,1011122,2211101,1022367698884,4888967632201
457,1011201,1021101,1022527462401,1042647252201
458,1011202,2021101,1022529484804,4084849252201
459,1011211,1121101,1022547686521,1256867452201
460,1012001,1002101,1024146024001,1004206414201
461,1012002,2002101,1024148048004,4008408414201
462,1012011,1102101,1024166264121,1214626614201
463,1012012,2102101,1024168288144,4418828614201
464,1012101,1012101,1024348434201,1024348434201
465,1012111,1112101,1024368676321,1236768634201
466,1020001,1000201,1040402040001,1000402040401
467,1020002,2000201,1040404080004,4000804040401
468,1020011,1100201,1040422440121,1210442240401
469,1020012,2100201,1040424480144,4410844240401
470,1020021,1200201,1040442840441,1440482440401
471,1020022,2200201,1040444880484,4840884440401
472,1020101,1010201,1040606050201,1020506060401
473,1020102,2010201,1040608090404,4040908060401
474,1020111,1110201,1040626452321,1232546260401
475,1020112,2110201,1040628492544,4452948260401
476,1020121,1210201,1040646854641,1464586460401
477,1020122,2210201,1040648894884,4884988460401
478,1021001,1001201,1042443042001,1002403442401
479,1021002,2001201,1042445084004,4004805442401
480,1021011,1101201,1042463462121,1212643642401
481,1021021,1201201,1042483882441,1442883842401
482,1021101,1011201,1042647252201,1022527462401
483,1021102,2011201,1042649294404,4044929462401
484,1021111,1111201,1042667674321,1234767662401
485,1022001,1002201,1044486044001,1004406844401
486,1022002,2002201,1044488088004,4008808844401
487,1030001,1000301,1060902060001,1000602090601
488,1030011,1100301,1060922660121,1210662290601
489,1031001,1001301,1062963062001,1002603692601
490,1031011,1101301,1062983682121,1212863892601
491,1100001,1000011,1210002200001,1000022000121
492,1100002,2000011,1210004400004,4000044000121
493,1100003,3000011,1210006600009,9000066000121
494,1100011,1100011,1210024200121,1210024200121
495,1100012,2100011,1210026400144,4410046200121
496,1100013,3100011,1210028600169,9610068200121
497,1100021,1200011,1210046200441,1440026400121
498,1100022,2200011,1210048400484,4840048400121
499,1100031,1300011,1210068200961,1690028600121
500,1100101,1010011,1210222210201,1020122220121
501,1100102,2010011,1210224410404,4040144220121
502,1100103,3010011,1210226610609,9060166220121
503,1100111,1110011,1210244212321,1232124420121
504,1100112,2110011,1210246412544,4452146420121
505,1100113,3110011,1210248612769,9672168420121
506,1100121,1210011,1210266214641,1464126620121
507,1100122,2210011,1210268414884,4884148620121
508,1100201,1020011,1210442240401,1040422440121
509,1100202,2020011,1210444440804,4080444440121
510,1100211,1120011,1210464244521,1254424640121
511,1100212,2120011,1210466444944,4494446640121
512,1100221,1220011,1210486248841,1488426840121
513,1100301,1030011,1210662290601,1060922660121
514,1100311,1130011,1210684296721,1276924860121
515,1101001,1001011,1212203202001,1002023022121
516,1101002,2001011,1212205404004,4004045022121
517,1101003,3001011,1212207606009,9006067022121
518,1101011,1101011,1212225222121,1212225222121
519,1101012,2101011,1212227424144,4414247222121
520,1101013,3101011,1212229626169,9616269222121
521,1101021,1201011,1212247242441,1442427422121
522,1101022,2201011,1212249444484,4844449422121
523,1101031,1301011,1212269262961,1692629622121
524,1101101,1011011,1212423412201,1022143242121
525,1101102,2011011,1212425614404,4044165242121
526,1101103,3011011,1212427816609,9066187242121
527,1101111,1111011,1212445434321,1234345442121
528,1101112,2111011,1212447636544,4456367442121
529,1101113,3111011,1212449838769,9678389442121
530,1101121,1211011,1212467456641,1466547642121
531,1101122,2211011,1212469658884,4888569642121
532,1101201,1021011,1212643642401,1042463462121
533,1101202,2021011,1212645844804,4084485462121
534,1101211,1121011,1212665666521,1256665662121
535,1101212,2121011,1212667868944,4498687662121
536,1101301,1031011,1212863892601,1062983682121
537,1102001,1002011,1214406204001,1004026044121
538,1102002,2002011,1214408408004,4008048044121
539,1102011,1102011,1214428244121,1214428244121
540,1102101,1012011,1214626614201,1024166264121
541,1102102,2012011,1214628818404,4048188264121
542,1102111,1112011,1214648656321,1236568464121
543,1110001,1000111,1232102220001,1000222012321
544,1110002,2000111,1232104440004,4000444012321
545,1110003,3000111,1232106660009,9000666012321
546,1110011,1100111,1232124420121,1210244212321
547,1110012,2100111,1232126640144,4410466212321
548,1110013,3100111,1232128860169,9610688212321
549,1110021,1200111,1232146620441,1440266412321
550,1110022,2200111,1232148840484,4840488412321
551,1110031,1300111,1232168820961,1690288612321
552,1110101,1010111,1232324230201,1020324232321
553,1110102,2010111,1232326450404,4040546232321
554,1110103,3010111,1232328670609,9060768232321
555,1110111,1110111,1232346432321,1232346432321
556,1110112,2110111,1232348652544,4452568432321
557,1110121,1210111,1232368634641,1464368632321
558,1110201,1020111,1232546260401,1040626452321
559,1110202,2020111,1232548480804,4080848452321
560,1110211,1120111,1232568464521,1254648652321
561,1111001,1001111,1234323222001,1002223234321
562,1111002,2001111,1234325444004,4004445234321
563,1111003,3001111,1234327666009,9006667234321
564,1111011,1101111,1234345442121,1212445434321
565,1111012,2101111,1234347664144,4414667434321
566,1111013,3101111,1234349886169,9616889434321
567,1111021,1201111,1234367662441,1442667634321
568,1111022,2201111,1234369884484,4844889634321
569,1111031,1301111,1234389882961,1692889834321
570,1111101,1011111,1234545432201,1022345454321
571,1111102,2011111,1234547654404,4044567454321
572,1111103,3011111,1234549876609,9066789454321
573,1111111,1111111,1234567654321,1234567654321
574,1111112,2111111,1234569876544,4456789654321
575,1111121,1211111,1234589876641,1466789854321
576,1111201,1021111,1234767662401,1042667674321
577,1111202,2021111,1234769884804,4084889674321
578,1111211,1121111,1234789886521,1256889874321
579,1112001,1002111,1236546224001,1004226456321
580,1112002,2002111,1236548448004,4008448456321
581,1112011,1102111,1236568464121,1214648656321
582,1112101,1012111,1236768634201,1024368676321
583,1120001,1000211,1254402240001,1000422044521
584,1120002,2000211,1254404480004,4000844044521
585,1120011,1100211,1254424640121,1210464244521
586,1120012,2100211,1254426880144,4410886244521
587,1120101,1010211,1254626250201,1020526264521
588,1120102,2010211,1254628490404,4040948264521
589,1120111,1110211,1254648652321,1232568464521
590,1121001,1001211,1256643242001,1002423466521
591,1121002,2001211,1256645484004,4004845466521
592,1121011,1101211,1256665662121,1212665666521
593,1121101,1011211,1256867452201,1022547686521
594,1121102,2011211,1256869694404,4044969686521
595,1121111,1111211,1256889874321,1234789886521
596,1122001,1002211,1258886244001,1004426888521
