,Num,Num_Back,Num_SQ,NUM_BACK_SQ
175,101013,310101,10203626169,96162630201
176,101021,120101,10205242441,14424250201
177,101022,220101,10205444484,48444450201
178,101031,130101,10207262961,16926270201
179,101101,101101,10221412201,10221412201
180,101102,201101,10221614404,40441612201
181,101103,301101,10221816609,90661812201
182,101111,111101,10223434321,12343432201
183,101112,211101,10223636544,44563632201
184,101113,311101,10223838769,96783832201
185,101121,121101,10225456641,14665452201
186,101122,221101,10225658884,48885652201
187,101201,102101,10241642401,10424614201
188,101202,202101,10241844804,40844814201
189,101211,112101,10243666521,12566634201
190,101212,212101,10243868944,44986834201
191,101301,103101,10261892601,10629816201
192,102001,100201,10404204001,10040240401
193,102002,200201,10404408004,40080440401
194,102011,110201,10406244121,12144260401
195,102012,210201,10406448144,44184460401
196,102021,120201,10408284441,14448280401
197,102022,220201,10408488484,48488480401
198,102101,101201,10424614201,10241642401
199,102102,201201,10424818404,40481842401
200,102111,111201,10426656321,12365662401
201,102121,121201,10428698641,14689682401
202,103001,100301,10609206001,10060290601
203,103101,101301,10629816201,10261892601
204,110001,100011,12100220001,10002200121
205,110002,200011,12100440004,40004400121
206,110003,300011,12100660009,90006600121
207,110011,110011,12102420121,12102420121
208,110012,210011,12102640144,44104620121
209,110013,310011,12102860169,96106820121
210,110021,120011,12104620441,14402640121
211,110022,220011,12104840484,48404840121
212,110031,130011,12106820961,16902860121
213,110101,101011,12122230201,10203222121
214,110102,201011,12122450404,40405422121
215,110103,301011,12122670609,90607622121
216,110111,111011,12124432321,12323442121
217,110112,211011,12124652544,44525642121
218,110113,311011,12124872769,96727842121
219,110121,121011,12126634641,14643662121
220,110122,221011,12126854884,48845862121
221,110201,102011,12144260401,10406244121
222,110202,202011,12144480804,40808444121
223,110211,112011,12146464521,12546464121
224,110212,212011,12146684944,44948664121
225,110221,122011,12148668841,14886684121
226,111001,100111,12321222001,10022212321
227,111002,200111,12321444004,40044412321
228,111003,300111,12321666009,90066612321
229,111011,110111,12323442121,12124432321
230,111012,210111,12323664144,44146632321
231,111013,310111,12323886169,96168832321
232,111021,120111,12325662441,14426652321
233,111022,220111,12325884484,48448852321
234,111031,130111,12327882961,16928872321
235,111101,101111,12343432201,10223434321
236,111102,201111,12343654404,40445634321
237,111103,301111,12343876609,90667834321
238,111111,111111,12345654321,12345654321
239,111112,211111,12345876544,44567854321
240,111121,121111,12347876641,14667874321
241,111201,102111,12365662401,10426656321
242,111202,202111,12365884804,40848856321
243,111211,112111,12367886521,12568876321
244,112001,100211,12544224001,10042244521
245,112002,200211,12544448004,40084444521
246,112011,110211,12546464121,12146464521
247,112012,210211,12546688144,44188664521
248,112101,101211,12566634201,10243666521
249,112102,201211,12566858404,40485866521
250,112111,111211,12568876321,12367886521
251,113001,100311,12769226001,10062296721
252,120001,100021,14400240001,10004200441
253,120002,200021,14400480004,40008400441
254,120011,110021,14402640121,12104620441
255,120012,210021,14402880144,44108820441
256,120101,101021,14424250201,10205242441
257,120102,201021,14424490404,40409442441
258,120111,111021,14426652321,12325662441
259,120112,211021,14426892544,44529862441
260,120201,102021,14448280401,10408284441
261,121001,100121,14641242001,10024214641
262,121002,200121,14641484004,40048414641
263,121011,110121,14643662121,12126634641
264,121101,101121,14665452201,10225456641
265,121102,201121,14665694404,40449656641
266,121111,111121,14667874321,12347876641
267,121201,102121,14689682401,10428698641
268,122001,100221,14884244001,10044248841
269,122002,200221,14884488004,40088448841
270,122011,110221,14886684121,12148668841
271,130001,100031,16900260001,10006200961
272,130011,110031,16902860121,12106820961
273,130101,101031,16926270201,10207262961
274,130111,111031,16928872321,12327882961
275,200001,100002,40000400001,10000400004
276,200002,200002,40000800004,40000800004
277,200011,110002,40004400121,12100440004
278,200012,210002,40004800144,44100840004
279,200021,120002,40008400441,14400480004
280,200022,220002,40008800484,48400880004
281,200101,101002,40040410201,10201404004
282,200102,201002,40040810404,40401804004
283,200111,111002,40044412321,12321444004
284,200112,211002,40044812544,44521844004
285,200121,121002,40048414641,14641484004
286,200122,221002,40048814884,48841884004
287,200201,102002,40080440401,10404408004
288,200202,202002,40080840804,40804808004
289,200211,112002,40084444521,12544448004
290,200212,212002,40084844944,44944848004
291,200221,122002,40088448841,14884488004
292,201001,100102,40401402001,10020410404
293,201002,200102,40401804004,40040810404
294,201011,110102,40405422121,12122450404
295,201012,210102,40405824144,44142850404
296,201021,120102,40409442441,14424490404
297,201022,220102,40409844484,48444890404
298,201101,101102,40441612201,10221614404
299,201111,111102,40445634321,12343654404
300,201121,121102,40449656641,14665694404
301,201201,102102,40481842401,10424818404
302,201211,112102,40485866521,12566858404
303,202001,100202,40804404001,10040440804
304,202002,200202,40804808004,40080840804
305,202011,110202,40808444121,12144480804
306,202012,210202,40808848144,44184880804
307,202101,101202,40844814201,10241844804
308,202111,111202,40848856321,12365884804
309,210001,100012,44100420001,10002400144
310,210002,200012,44100840004,40004800144
311,210011,110012,44104620121,12102640144
312,210021,120012,44108820441,14402880144
313,210101,101012,44142430201,10203424144
314,210102,201012,44142850404,40405824144
315,210111,111012,44146632321,12323664144
316,210201,102012,44184460401,10406448144
317,210202,202012,44184880804,40808848144
318,210211,112012,44188664521,12546688144
319,211001,100112,44521422001,10022412544
320,211002,200112,44521844004,40044812544
321,211011,110112,44525642121,12124652544
322,211021,120112,44529862441,14426892544
323,211101,101112,44563632201,10223636544
324,211111,111112,44567854321,12345876544
325,212001,100212,44944424001,10042444944
326,212002,200212,44944848004,40084844944
327,212011,110212,44948664121,12146684944
328,212101,101212,44986834201,10243868944
329,220001,100022,48400440001,10004400484
330,220002,200022,48400880004,40008800484
331,220011,110022,48404840121,12104840484
332,220101,101022,48444450201,10205444484
333,220102,201022,48444890404,40409844484
334,220111,111022,48448852321,12325884484
335,220201,102022,48488480401,10408488484
336,221001,100122,48841442001,10024414884
337,221002,200122,48841884004,40048814884
338,221011,110122,48845862121,12126854884
339,221101,101122,48885652201,10225658884
340,300001,100003,90000600001,10000600009
341,300011,110003,90006600121,12100660009
342,300101,101003,90060610201,10201606009
343,300111,111003,90066612321,12321666009
344,301001,100103,90601602001,10020610609
345,301011,110103,90607622121,12122670609
346,301101,101103,90661812201,10221816609
347,301111,111103,90667834321,12343876609
348,310001,100013,96100620001,10002600169
349,310011,110013,96106820121,12102860169
350,310101,101013,96162630201,10203626169
351,310111,111013,96168832321,12323886169
352,311001,100113,96721622001,10022612769
353,311011,110113,96727842121,12124872769
354,311101,101113,96783832201,10223838769
355,1000001,1000001,1000002000001,1000002000001
356,1000002,2000001,1000004000004,4000004000001
357,1000003,3000001,1000006000009,9000006000001
358,1000011,1100001,1000022000121,1210002200001
359,1000012,2100001,1000024000144,4410004200001
360,1000013,3100001,1000026000169,9610006200001
361,1000021,1200001,1000042000441,1440002400001
362,1000022,2200001,1000044000484,4840004400001
363,1000031,1300001,1000062000961,1690002600001
364,1000101,1010001,1000202010201,1020102020001
365,1000102,2010001,1000204010404,4040104020001
366,1000103,3010001,1000206010609,9060106020001
367,1000111,1110001,1000222012321,1232102220001
368,1000112,2110001,1000224012544,4452104220001
369,1000113,3110001,1000226012769,9672106220001
370,1000121,1210001,1000242014641,1464102420001
371,1000122,2210001,1000244014884,4884104420001
372,1000201,1020001,1000402040401,1040402040001
373,1000202,2020001,1000404040804,4080404040001
374,1000211,1120001,1000422044521,1254402240001
375,1000212,2120001,1000424044944,4494404240001
376,1000221,1220001,1000442048841,1488402440001
377,1000301,1030001,1000602090601,1060902060001
378,1000311,1130001,1000622096721,1276902260001
379,1001001,1001001,1002003002001,1002003002001
380,1001002,2001001,1002005004004,4004005002001
381,1001003,3001001,1002007006009,9006007002001
